Name: Jota do Barrio do Ceo - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-do-barrio-do-ceo/jota-do-barrio-do-ceo-partitura/@@display-file/midi/Jota%20do%20Barrio%20do%20Ceo.midi , File: 0.mid, Tracks: 2, Length: 27.2727 
Name: Jota de Vilar de Cabeiras - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-vilar-de-cabeiras/jota-de-vilar-de-cabeiras-partitura/@@display-file/midi/Jota%20de%20Vilar%20de%20Cabeiras.midi , File: 1.mid, Tracks: 1, Length: 38.0 
Name: Jota de Vilar de Cabeiras - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-vilar-de-cabeiras/jota-de-vilar-de-cabeiras-partitura-1/@@display-file/midi/Jota%20de%20Vilar%20de%20Cabeiras.midi , File: 2.mid, Tracks: 1, Length: 25.0 
Name: Jota da Carcacía - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-da-carcacia/jota-da-carcacia-partitura/@@display-file/midi/Jota%20da%20Carcac%C3%ADa.midi , File: 3.mid, Tracks: 2, Length: 56.85 
Name: Jota dos Alegres - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-dos-alegres/jota-dos-alegres-partitura/@@display-file/midi/Jota%20dos%20Alegres.midi , File: 4.mid, Tracks: 2, Length: 56.85 
Name: Jota de Boimorto - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-boimorto/jota-de-boimorto-partitura-1/@@display-file/midi/Jota%20de%20Boimorto.midi , File: 5.mid, Tracks: 2, Length: 51.666615 
Name: Jota de Boimorto - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-boimorto/jota-de-boimorto-partitura-2/@@display-file/midi/Jota%20de%20Boimorto.midi , File: 6.mid, Tracks: 2, Length: 40.390116 
Name: Jota de Boimorto - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-boimorto/jota-de-boimorto-partitura/@@display-file/midi/Jota%20de%20Boimorto.midi , File: 7.mid, Tracks: 2, Length: 39.09087 
Name: Jota de Ferreira de Pantón - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-ferreira-de-panton/jota-de-ferreira-de-panton-partitura/@@display-file/midi/Jota%20de%20Ferreira%20de%20Pant%C3%B3n.midi , File: 8.mid, Tracks: 1, Length: 57.27267 
Name: Jota do Saviñao - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-do-savinao/jota-do-savinao-partitura/@@display-file/midi/Jota%20do%20Savi%C3%B1ao.midi , File: 9.mid, Tracks: 2, Length: 39.199902 
Name: Jota de Santiago de Miraz - Partitura , Link: https://folkotecagalega.com/pezas/jotas/jota-de-santiago-de-miraz/jota-de-santiago-de-miraz-partitura/@@display-file/midi/Jota%20de%20Santiago%20de%20Miraz.midi , File: 10.mid, Tracks: 1, Length: 70.153776 
